StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,ResponseId,UserLanguage,RecordedDate,curso,escolaridade,área_estudo,renda,verif_contrato_2,idade,renda_e_pessoas,contrato_AB,contrato_CD,contrato_EF,poltrona_venda_reais,poltrona_compra_reai,poltrona_venda_porce,Q30,verif_poltrona,verif_casa
2021-12-10 08:14:55,2021-12-10 08:40:06,IP Address,97,1511,False,R_4IAqybWqhyElnOx,PT-BR,2021-12-17 08:40:08,Enfermagem - Concluído,Pós graduação (completa),Saúde,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,30,3,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Mais suscetível,Igual,,,Aumentou,1 ano
2021-12-10 08:40:58,2021-12-10 08:50:34,IP Address,57,576,False,R_3nTTluzd4HXI2Dr,PT-BR,2021-12-17 08:50:37,Pedagogia,Superior (completo),Humanas,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",,62,2,,,,,,,,,
2021-12-10 08:45:34,2021-12-10 08:52:40,IP Address,57,426,False,R_SUd6NfbD5NEvL2h,PT-BR,2021-12-17 08:52:41,"Desenho industrial ",Superior (completo),Exatas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",,53,3,,,,,,,,,
2021-12-10 09:03:34,2021-12-10 09:05:03,IP Address,50,88,False,R_2tfg3lugvBhAYtF,PT-BR,2021-12-17 09:05:03,Publicidade,Superior (completo),Humanas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",,25,3,,,,,,,,,
2021-12-10 09:26:02,2021-12-10 09:26:13,IP Address,3,10,False,R_322BehWcpLl8U9c,PT-BR,2021-12-17 09:26:18,,,,,,,,,,,,,,,,
2021-12-10 09:14:55,2021-12-10 09:30:39,IP Address,97,944,False,R_2cejCYmbMmDyPvZ,PT-BR,2021-12-17 09:30:42,"Medicina ",Superior (incompleto),Saúde,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,22,4,"Contrato 1:
Você concorda em vender os computadores (em 2013) por R$1.200 a peça, independente do preço dos computadores na época. Sendo assim, se a inflação estiver abaixo de 20%, você estará ganhando mais do que o preço de 2013; todavia, se a inflação ultrapassar 20%, você estará ganhando menos do que o preço de 2013. Uma vez que você concordou com um preço fixo, seu lucro vai depender da taxa de inflação.",,,Igual,Igual,,,Permaneceu o mesmo,1 ano
2021-12-10 09:28:15,2021-12-10 09:32:33,IP Address,57,257,False,R_Q9Q5YErJNezmyid,PT-BR,2021-12-17 09:32:35,"Medicina ",Superior (incompleto),Biológicas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",,25,3,,,,,,,,,
2021-12-10 09:59:37,2021-12-10 10:01:33,IP Address,53,115,False,R_2QMOOmGiLRuVP75,PT-BR,2021-12-17 10:01:38,"Medicina ",Superior (incompleto),Saúde,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",,21,4,,,,,,,,,
2021-12-17 11:03:06,2021-12-17 11:08:40,IP Address,100,334,True,R_AHG7gGGZiD9WLMR,PT-BR,2021-12-17 11:08:41,"Ciências Atuariais ",Superior (incompleto),Humanas,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",20%,19,4,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Igual,Igual,Permaneceu o mesmo,1 ano
2021-12-10 10:58:05,2021-12-10 11:44:33,IP Address,53,2787,False,R_296XN0cPJNdmoeu,PT-BR,2021-12-17 11:44:35,Artes plasticas,Superior (completo),Artes,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",,21,4,,,,,,,,,
2021-12-10 09:34:53,2021-12-10 12:14:06,IP Address,97,9552,False,R_SP2xMCGFn3aMm4x,PT-BR,2021-12-17 12:14:07,engenharia,Superior (completo),Exatas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,56,4,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Igual,Igual,,,Permaneceu o mesmo,1 ano
2021-12-10 14:25:50,2021-12-10 14:26:22,IP Address,3,31,False,R_vVogFip953xBt2V,PT-BR,2021-12-17 14:26:23,,,,,,,,,,,,,,,,
2021-12-10 17:55:36,2021-12-10 17:56:16,IP Address,7,40,False,R_272VipVE8nEbD9c,PT-BR,2021-12-17 17:56:18,,,,,,,,,,,,,,,,
2021-12-10 18:33:32,2021-12-10 18:44:23,IP Address,57,650,False,R_3QFqJY2I4Gh4AX8,PT-BR,2021-12-17 18:44:29,"Publicidade e propaganda ",Superior (completo),Humanas,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",,21,4,,,,,,,,,
2021-12-11 03:44:01,2021-12-11 03:50:13,IP Address,57,372,False,R_zU2N7is0xX8dUiZ,PT-BR,2021-12-18 03:50:15,Administração,Pós graduação (completa),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",,33,5,,,,,,,,,
2021-12-12 05:42:35,2021-12-12 05:45:09,IP Address,23,154,False,R_2gCGihL61z26rOp,PT-BR,2021-12-19 05:45:11,,Pós graduação (completa),,,,56,,,,,,,,,,
2021-12-12 05:51:03,2021-12-12 06:02:46,IP Address,57,702,False,R_10vc7TiMPioc1ji,PT-BR,2021-12-19 06:02:47,Artes/ DI,Superior (completo),Humanas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",,59,2,,,,,,,,,
2021-12-12 06:24:21,2021-12-12 06:27:05,IP Address,23,163,False,R_3qWIqCSikN3Lvsp,PT-BR,2021-12-19 06:27:06,,Superior (completo),,,,56,,,,,,,,,,
2021-12-12 12:22:03,2021-12-12 12:27:47,IP Address,57,344,False,R_eVUeWB6hurZsQp3,PT-BR,2021-12-19 12:27:48,Música,Superior (incompleto),Artes,"Mais de 15 salários mínimos (mais de R$ 15675,01)",,22,4,,,,,,,,,
2021-12-12 18:53:12,2021-12-12 18:53:24,IP Address,3,12,False,R_24oCBHQGtT41zsh,PT-BR,2021-12-19 18:53:31,,,,,,,,,,,,,,,,
2021-12-13 10:22:54,2021-12-13 10:25:16,IP Address,3,141,False,R_3JwrwxLbdBUDUUt,PT-BR,2021-12-20 10:25:17,,,,,,,,,,,,,,,,
2021-12-14 01:35:54,2021-12-14 01:39:11,IP Address,53,196,False,R_3eaSsgJeX5zd5Y6,PT-BR,2021-12-21 01:39:11,Administração,Superior (incompleto),Humanas,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",,25,2,,,,,,,,,
2021-12-14 07:42:09,2021-12-14 07:42:43,IP Address,3,34,False,R_2WvP1aizFTMXXKU,PT-BR,2021-12-21 07:42:45,,,,,,,,,,,,,,,,
2021-12-14 07:46:31,2021-12-14 07:47:06,IP Address,10,35,False,R_12yBzKe2ZL1UWI8,PT-BR,2021-12-21 07:47:09,,,,,,,,,,,,,,,,
2021-12-14 08:19:01,2021-12-14 08:19:42,IP Address,23,40,False,R_2PzHSzytPLGtQi4,PT-BR,2021-12-21 08:19:47,,Superior (incompleto),,,,22,,,,,,,,,,
2021-12-14 08:29:52,2021-12-14 08:36:09,IP Address,97,377,False,R_2s1EQby5PWc74o1,PT-BR,2021-12-21 08:36:12,Psicologia,Superior (incompleto),Saúde,"Mais de 15 salários mínimos (mais de R$ 15675,01)",30%,22,4,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",Mais suscetível,Menos suscetível,,,Permaneceu o mesmo,Não sei
2021-12-14 08:43:21,2021-12-14 08:44:51,IP Address,23,89,False,R_WrjzyU8HhYz0d3j,PT-BR,2021-12-21 08:44:54,,Superior (incompleto),,,,23,,,,,,,,,,
2021-12-14 09:44:18,2021-12-14 09:52:36,IP Address,87,497,False,R_XRDGDzykptUSmI1,PT-BR,2021-12-21 09:52:38,"Dança ",Superior (incompleto),Artes,"Mais de 15 salários mínimos (mais de R$ 15675,01)",,21,5,,,,,,Igual,Igual,Permaneceu o mesmo,Não sei
2021-12-14 15:38:35,2021-12-14 15:39:55,IP Address,23,80,False,R_30nRnpZNoShk7ZS,PT-BR,2021-12-21 15:40:00,,Superior (completo),,,,41,,,,,,,,,,
2021-12-15 05:18:48,2021-12-15 05:19:16,IP Address,3,28,False,R_3NxtanwkJQzfubx,PT-BR,2021-12-22 05:19:18,,,,,,,,,,,,,,,,
2021-12-15 08:07:58,2021-12-15 08:08:36,IP Address,23,37,False,R_0D1EoANKqSSRijn,PT-BR,2021-12-22 08:08:41,,Superior (incompleto),,,,22,,,,,,,,,,
2021-12-16 16:52:39,2021-12-16 16:56:59,IP Address,57,259,False,R_3kAkIbl1l5BVl89,PT-BR,2021-12-23 16:57:03,Psicologia,Superior (completo),Saúde,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",,27,1,,,,,,,,,
2021-12-16 17:26:54,2021-12-16 17:39:51,IP Address,97,776,False,R_Xp7b1ercnOhR0Hv,PT-BR,2021-12-23 17:39:52,Nenhum,Ensino Médio (completo),Não cursei,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",30%,75,2,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Igual,Menos suscetível,,,Aumentou,Não sei
2021-12-16 20:50:01,2021-12-16 20:52:35,IP Address,50,153,False,R_30kPtR6DFhoSavt,PT-BR,2021-12-23 20:52:37,"Gestão Financeira ",Pós graduação (completa),Exatas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",,33,2,,,,,,,,,
2021-12-17 11:03:35,2021-12-17 11:08:54,IP Address,53,318,False,R_1Fr284i2Q09dBja,PT-BR,2021-12-24 11:08:56,Ciências Contábeis,Superior (completo),Exatas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",,25,3,,,,,,,,,
2021-12-17 11:06:07,2021-12-17 15:35:47,IP Address,97,16180,False,R_3Ms1CN8lE4SnCD9,PT-BR,2021-12-24 15:37:14,"Gestao bancária ",Superior (completo),Exatas,,20%,36,3,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",Mais suscetível,Menos suscetível,,,Aumentou,Não sei
2021-12-17 11:13:52,2021-12-18 03:55:15,IP Address,57,60082,False,R_1OxD7l2r98oZIw4,PT-BR,2021-12-25 03:55:23,"Engenharia Civil ",Superior (incompleto),Exatas,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",,33,1,,,,,,,,,
2021-12-21 08:54:27,2021-12-21 08:59:00,IP Address,57,273,False,R_3EGC7DpkrAgDEJB,PT-BR,2021-12-28 08:59:05,Jornalismo,Superior (completo),Humanas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",,60,3,,,,,,,,,
2022-01-12 15:29:27,2022-01-12 15:42:29,IP Address,100,782,True,R_tM1D5Kop6kkDFu1,PT-BR,2022-01-12 15:42:30,"Direito ",Superior (completo),Humanas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",20%,60,2,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,,,Igual,Igual,Permaneceu o mesmo,1 ano
2022-01-17 11:01:59,2022-01-17 11:09:01,IP Address,100,422,True,R_22LY5GyurY3JmD6,PT-BR,2022-01-17 11:09:01,Engenharia Química,Pós graduação (incompleta),Exatas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",20%,26,2,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",Mais suscetível,Mais suscetível,,,Aumentou,1 ano
2022-01-17 11:08:35,2022-01-17 11:17:22,IP Address,100,527,True,R_3oTNpQCq9R4w5vV,PT-BR,2022-01-17 11:17:23,"Administração ",Pós graduação (completa),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,31,2,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Igual,Menos suscetível,Permaneceu o mesmo,1 ano
2022-01-17 12:06:19,2022-01-17 12:16:16,IP Address,100,596,True,R_diE0eZ3TwIp1AT7,PT-BR,2022-01-17 12:16:16,Engenharia de Produção,Superior (completo),Exatas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",20%,26,3,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,,Igual,Menos suscetível,Permaneceu o mesmo,Não sei
2022-01-17 12:18:01,2022-01-17 12:26:10,IP Address,100,489,True,R_viVYAUZT0Rw1jSV,PT-BR,2022-01-17 12:26:11,Administração,Pós graduação (incompleta),Humanas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",20%,26,2,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,,,Igual,Igual,Aumentou,1 ano
2022-01-17 12:20:08,2022-01-17 12:31:20,IP Address,100,672,True,R_3fDbAhZEfO4KttL,PT-BR,2022-01-17 12:31:21,"Psicologia ",Pós graduação (completa),Humanas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",Não sei,54,3,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",Igual,Igual,,,Aumentou,Não sei
2022-01-17 19:50:07,2022-01-17 20:01:06,IP Address,100,658,True,R_1qWbmYx4hwgNuxK,PT-BR,2022-01-17 20:01:06,Engenharia de produção,Pós graduação (completa),Exatas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,30,3,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,,,Igual,Igual,Permaneceu o mesmo,1 ano
2022-01-13 03:49:47,2022-01-13 03:50:02,IP Address,3,14,False,R_3DewyvzYAXTxN24,PT-BR,2022-01-20 03:50:03,,,,,,,,,,,,,,,,
2022-01-13 07:00:56,2022-01-13 07:06:47,IP Address,53,350,False,R_1g10xYySbwDIj12,PT-BR,2022-01-20 07:06:50,Direito e Adm. de empresas,Pós graduação (completa),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",,76,2,,,,,,,,,
2022-01-14 02:32:03,2022-01-14 02:34:32,IP Address,50,149,False,R_2OO0ymegDersAvM,PT-BR,2022-01-21 02:34:40,"Administração ",Pós graduação (completa),Humanas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",,44,1,,,,,,,,,
2022-01-14 06:19:52,2022-01-14 06:21:09,IP Address,23,76,False,R_1Qg85P7Nomc7wwu,PT-BR,2022-01-21 06:21:10,,Ensino Fundamental (incompleto),,,,90,,,,,,,,,,
2022-01-17 11:18:28,2022-01-17 12:13:49,IP Address,97,3321,False,R_2c87xCYEJ0RpEvn,PT-BR,2022-01-24 12:13:54,"Direito ",Superior (completo),Humanas,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",20%,28,1,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,Igual,Igual,,,Permaneceu o mesmo,1 ano
2022-01-17 12:11:07,2022-01-17 12:16:28,IP Address,57,320,False,R_0DqHS9MLZq8QMyl,PT-BR,2022-01-24 12:16:30,Design digital,Superior (completo),Humanas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",,29,2,,,,,,,,,
2022-01-17 13:32:00,2022-01-17 13:42:32,IP Address,53,632,False,R_2zhTVdF9ViIbuMq,PT-BR,2022-01-24 13:42:33,Engenharia,Pós graduação (completa),Exatas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",,26,5,,,,,,,,,
2022-01-17 13:19:19,2022-01-17 17:01:59,IP Address,53,13360,False,R_88HCof9xfr2L67v,PT-BR,2022-01-24 17:02:00,Psicologia,Pós graduação (completa),Humanas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",,39,4,,,,,,,,,
2022-01-27 22:13:27,2022-01-27 22:35:12,IP Address,100,1305,True,R_2ZIyyKhJYwSl7jj,PT-BR,2022-01-27 22:35:13,Marketing,Pós graduação (incompleta),Humanas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",10%,25,2,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Mais suscetível,Menos suscetível,Aumentou,1 ano
2022-01-28 03:42:32,2022-01-28 04:41:00,IP Address,100,3508,True,R_124ExjjnOQlTdOd,PT-BR,2022-01-28 04:41:01,Educacao Fisica,Pós graduação (completa),Biológicas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",20%,58,2,,"Contrato 1:
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,Menos suscetível,Menos suscetível,,,Diminuiu,Não sei
2022-01-28 05:02:20,2022-01-28 05:12:11,IP Address,100,591,True,R_3g6N4r63lRYPQRZ,PT-BR,2022-01-28 05:12:11,Administração,Pós graduação (completa),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,46,4,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",Igual,Igual,,,Permaneceu o mesmo,6 meses
2022-01-28 05:23:31,2022-01-28 05:48:03,IP Address,100,1471,True,R_22QiAQCvSF3fWXm,PT-BR,2022-01-28 05:48:03,Direito,Superior (completo),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,73,2,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Igual,Igual,Permaneceu o mesmo,1 ano
2022-01-28 05:52:35,2022-01-28 06:15:37,IP Address,100,1382,True,R_307apEC1wNPMb1R,PT-BR,2022-01-28 06:15:38,Psicologia,Superior (completo),Saúde,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",20%,71,2,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",Igual,Menos suscetível,,,Aumentou,Não sei
2022-01-28 04:48:16,2022-01-28 08:24:51,IP Address,100,12995,True,R_1PTOnC1QxQkANYE,PT-BR,2022-01-28 08:24:51,Direito,Superior (completo),Humanas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",20%,60,1,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,,,Mais suscetível,Menos suscetível,Aumentou,1 ano
2022-01-30 06:02:29,2022-01-30 06:14:00,IP Address,100,690,True,R_qyloysiXM3DZEFX,PT-BR,2022-01-30 06:14:01,Psicologia,Pós graduação (completa),Humanas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",20%,28,3,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",Igual,Menos suscetível,,,Aumentou,1 ano
2022-01-31 12:15:55,2022-01-31 12:26:21,IP Address,100,625,True,R_23ePifhFPWxPyix,PT-BR,2022-01-31 12:26:21,Engenharia de produção,Superior (incompleto),Exatas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",20%,20,5,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,,,Igual,Igual,Permaneceu o mesmo,1 ano
2022-01-27 08:47:53,2022-01-27 08:52:29,IP Address,70,275,False,R_1CsBl6yzC7UaNpW,PT-BR,2022-02-03 08:52:32,Psicologia,Superior (completo),Humanas,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",,22,4,,,,,,,,,Não sei
2022-02-03 16:32:11,2022-02-03 16:46:48,IP Address,100,876,True,R_2aKYgcMemwbEl5R,PT-BR,2022-02-03 16:46:49,Engenharia Mecânica,Superior (completo),Exatas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,22,4,,"Contrato 1:
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,Mais suscetível,Menos suscetível,,,Permaneceu o mesmo,1 ano
2022-02-03 16:43:44,2022-02-03 16:51:23,IP Address,100,458,True,R_9Qt6Ar7PljMI0a5,PT-BR,2022-02-03 16:51:23,"Psicologia ",Superior (incompleto),Humanas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",20%,21,5,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,,Mais suscetível,Menos suscetível,Permaneceu o mesmo,1 ano
2022-02-03 16:42:19,2022-02-03 16:56:14,IP Address,100,835,True,R_4U8aEEy6zZXIsvf,PT-BR,2022-02-03 16:56:14,Psicologia,Superior (completo),Humanas,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",20%,23,2,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Igual,Igual,Aumentou,1 ano
2022-02-03 16:41:09,2022-02-03 16:57:12,IP Address,100,963,True,R_3ee4xqlrF4GTaSG,PT-BR,2022-02-03 16:57:13,Medicina,Superior (incompleto),Saúde,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",20%,22,2,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",Igual,Igual,,,Permaneceu o mesmo,Não sei
2022-02-03 18:21:48,2022-02-03 18:30:28,IP Address,100,520,True,R_3HCFaRSZcHrc5dC,PT-BR,2022-02-03 18:30:28,Psicologia,Superior (incompleto),Saúde,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",20%,23,3,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,,,Mais suscetível,Menos suscetível,Aumentou,1 ano
2022-02-03 18:37:35,2022-02-03 18:50:13,IP Address,100,758,True,R_2X0XHgSBPWnsMVt,PT-BR,2022-02-03 18:50:14,Administração,Superior (completo),Humanas,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",20%,24,4,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Mais suscetível,Menos suscetível,,,Aumentou,1 ano
2022-02-04 05:19:11,2022-02-04 05:33:21,IP Address,100,850,True,R_22wX2xjIVT9SH7h,PT-BR,2022-02-04 05:33:21,"Educação Física e Esporte ",Superior (incompleto),Saúde,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,21,4,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Mais suscetível,Menos suscetível,Permaneceu o mesmo,1 ano
2022-01-28 07:31:35,2022-01-28 07:35:33,IP Address,57,237,False,R_2P86r10wOeTk5lu,PT-BR,2022-02-04 07:35:33,"Direito ",Pós graduação (completa),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",,41,1,,,,,,,,,
2022-01-29 10:40:44,2022-01-29 10:49:22,IP Address,10,518,False,R_wKIpju1CRZnoonL,PT-BR,2022-02-05 10:49:23,,,,,,,,,,,,,,,,
2022-01-29 10:53:27,2022-01-29 11:02:59,IP Address,97,571,False,R_4SFxyzyOLToZ6EN,PT-BR,2022-02-05 11:03:01,Animação,Superior (completo),Artes,"Mais de 15 salários mínimos (mais de R$ 15675,01)",Não sei,21,4,"Contrato 1:
Você concorda em vender os computadores (em 2013) por R$1.200 a peça, independente do preço dos computadores na época. Sendo assim, se a inflação estiver abaixo de 20%, você estará ganhando mais do que o preço de 2013; todavia, se a inflação ultrapassar 20%, você estará ganhando menos do que o preço de 2013. Uma vez que você concordou com um preço fixo, seu lucro vai depender da taxa de inflação.",,,,,Menos suscetível,Menos suscetível,Permaneceu o mesmo,1 ano
2022-01-29 11:03:49,2022-01-29 11:04:32,IP Address,7,43,False,R_2Vvyp0sIOEPn4VY,PT-BR,2022-02-05 11:04:37,,,,,,,,,,,,,,,,
2022-01-29 11:27:22,2022-01-29 11:28:23,IP Address,23,61,False,R_2AZ7grmVGKId1Yf,PT-BR,2022-02-05 11:28:26,,Pós graduação (completa),,,,54,,,,,,,,,,
2022-02-06 05:02:23,2022-02-06 05:10:25,IP Address,100,482,True,R_2zdbeCnoCdrLM60,PT-BR,2022-02-06 05:10:26,Engenharia Civil,Superior (completo),Exatas,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",20%,26,4,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",Igual,Mais suscetível,,,Diminuiu,Não sei
